Code;Subfamily;Tribe;Species;Sex;Abundance;Site;Strata;Trap;Date;Month;SU;CMR;OBS;Lep
C42675N1;Charaxinae;Preponini;Archaeoprepona_chalciope;;1;MN4;Canopy;Dos2;01/11/2016;November;N1;;Coletada;4
C42675N1;Charaxinae;Anaeini;Zaretis_strigosus;M;1;MN4;Canopy;Dos2;01/11/2016;November;N1;;Coletada;42
C42675N1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN5;Canopy;Dos3;01/11/2016;November;N1;;Coletada;72
C42675N1;Charaxinae;Preponini;Archaeoprepona_chalciope;M;1;MN6;Canopy;Dos1;01/11/2016;November;N1;2;;
C42675N1;Charaxinae;Preponini;Archaeoprepona_amphimachus;F;1;MN6;Canopy;Dos1;01/11/2016;November;N1;;Coletada;76
C42676N1;Charaxinae;Preponini;Archaeoprepona_chalciope;M;1;MN2;Canopy;Dos2;02/11/2016;November;N1;8;;
C42676N1;Charaxinae;Anaeini;Memphis_hirta;F;1;MN2;Canopy;Dos4;02/11/2016;November;N1;;Coletada;57
C42680N1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN4;Canopy;Dos4;06/11/2016;November;N1;28;;
C42677N1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN5;Canopy;Dos2;03/11/2016;November;N1;;Coletada;28
C42677N1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN6;Canopy;Dos4;03/11/2016;November;N1;;Coletada;79
C42678N1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN2;Canopy;Dos4;04/11/2016;November;N1;;Coletada;48
C42678N1;Satyrinae;Satyrini;Paryphthimoides_grimon;M;1;MN3;Canopy;Dos3;04/11/2016;November;N1;;Coletada;35
C42678N1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN3;Canopy;Dos4;04/11/2016;November;N1;;Coletada;52
C42679N1;Charaxinae;Anaeini;Memphis_moruus;F;1;MN4;Canopy;Dos2;05/11/2016;November;N1;;Coletada;56
C42679N1;Charaxinae;Anaeini;Memphis_moruus;M;1;MN4;Canopy;Dos2;05/11/2016;November;N1;;Coletada;63
C42679N1;Charaxinae;Preponini;Archaeoprepona_demophon;F;1;MN4;Canopy;Dos3;05/11/2016;November;N1;;Coletada;71
C42679N1;Charaxinae;Anaeini;Memphis_hirta;M;1;MN4;Canopy;Dos4;05/11/2016;November;N1;"""1""";;
C42679N1;Satyrinae;Satyrini;Forsterinaria_quantius;F;1;MN6;Canopy;Dos4;05/11/2016;November;N1;;Coletada;51
C42679N1;Charaxinae;Anaeini;Zaretis_strigosus;M;1;MN6;Canopy;Dos5;05/11/2016;November;N1;;Coletada;67
C42679N1;Charaxinae;Anaeini;Memphis_moruus;M;1;MN6;Canopy;Dos5;05/11/2016;November;N1;;Coletada;75
C42680N1;Charaxinae;Preponini;Archaeoprepona_chalciope;M;1;MN1;Canopy;Dos1;06/11/2016;November;N1;14;;
C42680N1;Charaxinae;Anaeini;Memphis_hirta;F;1;MN1;Canopy;Dos1;06/11/2016;November;N1;15;;
C42680N1;Satyrinae;Satyrini;Forsterinaria_necys;M;1;MN1;Canopy;Dos1;06/11/2016;November;N1;;Coletada;36
C42680N1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN1;Canopy;Dos1;06/11/2016;November;N1;;Coletada;33
C42680N1;Biblidinae;Epiphilini;Epiphile_hubneri;M;1;MN1;Canopy;Dos3;06/11/2016;November;N1;18;;
C42680N1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN1;Canopy;Dos4;06/11/2016;November;N1;;Coletada;39
C42680N1;Charaxinae;Anaeini;Memphis_hirta;F;1;MN2;Canopy;Dos3;06/11/2016;November;N1;20;;
C42680N1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN2;Canopy;Dos3;06/11/2016;November;N1;;Coletada;49
C42680N1;Charaxinae;Anaeini;Memphis_hirta;F;1;MN2;Canopy;Dos4;06/11/2016;November;N1;;Coletada;31
C42680N1;Charaxinae;Anaeini;Memphis_hirta;F;1;MN2;Canopy;Dos4;06/11/2016;November;N1;;Coletada;25
C42680N1;Charaxinae;Anaeini;Memphis_moruus;M;1;MN2;Canopy;Dos4;06/11/2016;November;N1;;Coletada;27
C42680N1;Satyrinae;Satyrini;Forsterinaria_pronophila;F;1;MN3;Canopy;Dos4;06/11/2016;November;N1;;Coletada;26
C42680N1;Charaxinae;Preponini;Archaeoprepona_chalciope;F;1;MN3;Canopy;Dos5;06/11/2016;November;N1;22;;
C42680N1;Charaxinae;Anaeini;Zaretis_strigosus;M;1;MN4;Canopy;Dos5;06/11/2016;November;N1;;Coletada;34
C42680N1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN5;Canopy;Dos3;06/11/2016;November;N1;;Coletada;93
C42680N1;Charaxinae;Anaeini;Zaretis_strigosus;M;1;MN5;Canopy;Dos4;06/11/2016;November;N1;;Coletada;37
C42680N1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN6;Canopy;Dos4;06/11/2016;November;N1;25;;
C42681N1;Charaxinae;Anaeini;Memphis_hirta;F;1;MN2;Canopy;Dos2;07/11/2016;November;N1;"""139""";;
C42681N1;Charaxinae;Anaeini;Memphis_hirta;;1;MN2;Canopy;Dos2;07/11/2016;November;N1;;;
C42681N1;Charaxinae;Anaeini;Memphis_hirta;F;1;MN2;Canopy;Dos3;07/11/2016;November;N1;;;
C42681N1;Charaxinae;Anaeini;Memphis_hirta;F;1;MN2;Canopy;Dos4;07/11/2016;November;N1;;Coletada;38
C42681N1;Charaxinae;Anaeini;Memphis_hirta;F;1;MN2;Canopy;Dos5;07/11/2016;November;N1;;;
C42681N1;Charaxinae;Preponini;Archaeoprepona_demophoon;F;1;MN3;Canopy;Dos5;07/11/2016;November;N1;;Coletada;32
C42713D1;Satyrinae;Satyrini;Carminda_paeon;;1;MN1;Canopy;Dos2;09/12/2016;December;D1;;Coletada;SEM LEP
C42713D1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN1;Canopy;Dos5;09/12/2016;December;D1;33;;
C42713D1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN1;Canopy;Dos5;09/12/2016;December;D1;34;;
C42713D1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN1;Canopy;Dos5;09/12/2016;December;D1;35;;
C42714D1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN6;Canopy;Dos4;10/12/2016;December;D1;;Coletada;217
C42715D1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN1;Canopy;Dos1;11/12/2016;December;D1;36;;
C42715D1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN1;Canopy;Dos1;11/12/2016;December;D1;37;;
C42715D1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN1;Canopy;Dos1;11/12/2016;December;D1;38;;
C42715D1;Satyrinae;Satyrini;Carminda_paeon;;1;MN1;Canopy;Dos2;11/12/2016;December;D1;;fugiu;
C42715D1;Satyrinae;Satyrini;Carminda_paeon;;1;MN1;Canopy;Dos4;11/12/2016;December;D1;;fugiu;
C42715D1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN1;Canopy;Dos4;11/12/2016;December;D1;39;;
C42715D1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN1;Canopy;Dos5;11/12/2016;December;D1;40;;
C42715D1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN1;Canopy;Dos5;11/12/2016;December;D1;41;;
C42715D1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN1;Canopy;Dos5;11/12/2016;December;D1;;Coletada;210
C42715D1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN2;Canopy;Dos4;11/12/2016;December;D1;42;;
C42715D1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN2;Canopy;Dos4;11/12/2016;December;D1;;Coletada;249
C42715D1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN3;Canopy;Dos5;11/12/2016;December;D1;;Morta;
C42716D1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN6;Canopy;Dos1;12/12/2016;December;D1;;;
C42716D1;Satyrinae;Satyrini;Hermeuptychia_sp.;;1;MN6;Canopy;Dos1;12/12/2016;December;D1;;Coletada;251
C42716D1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN6;Canopy;Dos3;12/12/2016;December;D1;45;;
C42716D1;Satyrinae;Satyrini;Praepedaliodes_phanias;F;1;MN6;Canopy;Dos4;12/12/2016;December;D1;;Coletada;199
C42716D1;Satyrinae;Satyrini;Carminda_paeon;F;1;MN6;Canopy;Dos4;12/12/2016;December;D1;46;;
C42716D1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN6;Canopy;Dos4;12/12/2016;December;D1;;Morta;
C42716D1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN6;Canopy;Dos4;12/12/2016;December;D1;;Coletada;219
C42716D1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN6;Canopy;Dos4;12/12/2016;December;D1;;Morta;
C42716D1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN6;Canopy;Dos5;12/12/2016;December;D1;47;;
C42716D1;Satyrinae;Satyrini;Carminda_paeon;M;1;MN6;Canopy;Dos5;12/12/2016;December;D1;48;;
