Code;Data;Hora;Time;Temp;UR;Strata;SU;Period
C42753J1;17/01/2017;15:00:00;18/01/2017;26.79;68.37;Canopy;J1;Day
U42753J1;17/01/2017;15:00:00;18/01/2017;22.54;96.31;Understory;J1;Day
C42753J1;17/01/2017;15:30:00;18/01/2017;27.63;66.91;Canopy;J1;Day
U42753J1;17/01/2017;15:30:00;18/01/2017;22.37;95.39;Understory;J1;Day
C42753J1;17/01/2017;16:00:00;18/01/2017;30.55;51.97;Canopy;J1;Day
U42753J1;17/01/2017;16:00:00;18/01/2017;22.27;93.09;Understory;J1;Day
C42753J1;17/01/2017;16:30:00;18/01/2017;29.19;57.07;Canopy;J1;Day
U42753J1;17/01/2017;16:30:00;18/01/2017;22.27;92.1;Understory;J1;Day
C42753J1;17/01/2017;17:00:00;18/01/2017;33;45.47;Canopy;J1;Day
U42753J1;17/01/2017;17:00:00;18/01/2017;22.2;89.03;Understory;J1;Day
C42753J1;17/01/2017;17:30:00;18/01/2017;26.11;67.64;Canopy;J1;Day
U42753J1;17/01/2017;17:30:00;18/01/2017;21.96;90.75;Understory;J1;Day
C42753J1;17/01/2017;18:00:00;18/01/2017;26.26;66.61;Canopy;J1;Day
U42753J1;17/01/2017;18:00:00;18/01/2017;21.89;93.24;Understory;J1;Day
C42753J1;17/01/2017;18:30:00;18/01/2017;24.48;75.08;Canopy;J1;Night
U42753J1;17/01/2017;18:30:00;18/01/2017;21.77;92.48;Understory;J1;Night
C42753J1;17/01/2017;19:00:00;18/01/2017;22.06;82.23;Canopy;J1;Night
U42753J1;17/01/2017;19:00:00;18/01/2017;21.22;92.08;Understory;J1;Night
C42753J1;17/01/2017;19:30:00;18/01/2017;21.22;85.61;Canopy;J1;Night
U42753J1;17/01/2017;19:30:00;18/01/2017;20.7;94.8;Understory;J1;Night
C42753J1;17/01/2017;20:00:00;18/01/2017;20.17;92.97;Canopy;J1;Night
U42753J1;17/01/2017;20:00:00;18/01/2017;20.32;96.58;Understory;J1;Night
C42753J1;17/01/2017;20:30:00;18/01/2017;19.22;96.68;Canopy;J1;Night
U42753J1;17/01/2017;20:30:00;18/01/2017;19.63;98.23;Understory;J1;Night
C42753J1;17/01/2017;21:00:00;18/01/2017;18.79;97.9;Canopy;J1;Night
U42753J1;17/01/2017;21:00:00;18/01/2017;19.41;98.82;Understory;J1;Night
C42753J1;17/01/2017;21:30:00;18/01/2017;18.44;98.06;Canopy;J1;Night
U42753J1;17/01/2017;21:30:00;18/01/2017;19.15;99.08;Understory;J1;Night
C42753J1;17/01/2017;22:00:00;18/01/2017;18.22;98.73;Canopy;J1;Night
U42753J1;17/01/2017;22:00:00;18/01/2017;18.91;99.38;Understory;J1;Night
C42753J1;17/01/2017;22:30:00;18/01/2017;18.2;98.88;Canopy;J1;Night
U42753J1;17/01/2017;22:30:00;18/01/2017;18.56;99.33;Understory;J1;Night
C42753J1;17/01/2017;23:00:00;18/01/2017;18.2;99.29;Canopy;J1;Night
U42753J1;17/01/2017;23:00:00;18/01/2017;18.51;99.78;Understory;J1;Night
C42753J1;17/01/2017;23:30:00;18/01/2017;18.25;99.3;Canopy;J1;Night
U42753J1;17/01/2017;23:30:00;18/01/2017;18.7;100;Understory;J1;Night
C42753J1;18/01/2017;00:00:00;18/01/2017;18.27;99.41;Canopy;J1;Night
U42753J1;18/01/2017;00:00:00;18/01/2017;18.72;100;Understory;J1;Night
C42753J1;18/01/2017;00:30:00;18/01/2017;18.27;99.41;Canopy;J1;Night
U42753J1;18/01/2017;00:30:00;18/01/2017;18.75;100;Understory;J1;Night
C42753J1;18/01/2017;01:00:00;18/01/2017;18.22;99.5;Canopy;J1;Night
U42753J1;18/01/2017;01:00:00;18/01/2017;18.68;100;Understory;J1;Night
C42753J1;18/01/2017;01:30:00;18/01/2017;18.49;99.57;Canopy;J1;Night
U42753J1;18/01/2017;01:30:00;18/01/2017;18.79;100;Understory;J1;Night
C42753J1;18/01/2017;02:00:00;18/01/2017;18.41;99.45;Canopy;J1;Night
U42753J1;18/01/2017;02:00:00;18/01/2017;18.87;100;Understory;J1;Night
C42753J1;18/01/2017;02:30:00;18/01/2017;18.32;99.6;Canopy;J1;Night
U42753J1;18/01/2017;02:30:00;18/01/2017;18.75;100;Understory;J1;Night
C42753J1;18/01/2017;03:00:00;18/01/2017;18.37;99.64;Canopy;J1;Night
U42753J1;18/01/2017;03:00:00;18/01/2017;18.75;100;Understory;J1;Night
C42753J1;18/01/2017;03:30:00;18/01/2017;18.46;99.61;Canopy;J1;Night
U42753J1;18/01/2017;03:30:00;18/01/2017;18.77;100;Understory;J1;Night
C42753J1;18/01/2017;04:00:00;18/01/2017;18.41;99.45;Canopy;J1;Night
U42753J1;18/01/2017;04:00:00;18/01/2017;18.82;100;Understory;J1;Night
C42753J1;18/01/2017;04:30:00;18/01/2017;18.37;99.38;Canopy;J1;Night
U42753J1;18/01/2017;04:30:00;18/01/2017;18.72;100;Understory;J1;Night
C42753J1;18/01/2017;05:00:00;18/01/2017;18.34;99.33;Canopy;J1;Night
U42753J1;18/01/2017;05:00:00;18/01/2017;18.7;100;Understory;J1;Night
C42753J1;18/01/2017;05:30:00;18/01/2017;18.39;99.11;Canopy;J1;Night
U42753J1;18/01/2017;05:30:00;18/01/2017;18.7;100;Understory;J1;Night
C42753J1;18/01/2017;06:00:00;18/01/2017;18.41;98.93;Canopy;J1;Night
U42753J1;18/01/2017;06:00:00;18/01/2017;18.68;100;Understory;J1;Night
C42753J1;18/01/2017;06:30:00;18/01/2017;18.44;98.68;Canopy;J1;Night
U42753J1;18/01/2017;06:30:00;18/01/2017;18.65;100;Understory;J1;Night
C42753J1;18/01/2017;07:00:00;18/01/2017;18.51;98.55;Canopy;J1;Night
U42753J1;18/01/2017;07:00:00;18/01/2017;18.72;100;Understory;J1;Night
C42753J1;18/01/2017;07:30:00;18/01/2017;18.63;98.58;Canopy;J1;Night
U42753J1;18/01/2017;07:30:00;18/01/2017;18.77;100;Understory;J1;Night
C42753J1;18/01/2017;08:00:00;18/01/2017;18.75;98.3;Canopy;J1;Day
U42753J1;18/01/2017;08:00:00;18/01/2017;18.89;100;Understory;J1;Day
C42753J1;18/01/2017;08:30:00;18/01/2017;19.15;96.95;Canopy;J1;Day
U42753J1;18/01/2017;08:30:00;18/01/2017;18.91;100;Understory;J1;Day
C42753J1;18/01/2017;09:00:00;18/01/2017;21.41;71.27;Canopy;J1;Day
C42753J1;18/01/2017;09:00:00;18/01/2017;19.08;96.83;Canopy;J1;Day
U42753J1;18/01/2017;09:00:00;18/01/2017;21.34;70.58;Understory;J1;Day
U42753J1;18/01/2017;09:00:00;18/01/2017;18.91;100;Understory;J1;Day
C42753J1;18/01/2017;09:30:00;18/01/2017;21.75;72.1;Canopy;J1;Day
C42753J1;18/01/2017;09:30:00;18/01/2017;19.89;93.99;Canopy;J1;Day
U42753J1;18/01/2017;09:30:00;18/01/2017;21.7;71.12;Understory;J1;Day
U42753J1;18/01/2017;09:30:00;18/01/2017;19.08;100;Understory;J1;Day
C42754J1;18/01/2017;10:00:00;19/01/2017;22.44;72.96;Canopy;J1;Day
C42754J1;18/01/2017;10:00:00;19/01/2017;21.18;88.65;Canopy;J1;Day
U42754J1;18/01/2017;10:00:00;19/01/2017;22.32;71.83;Understory;J1;Day
U42754J1;18/01/2017;10:00:00;19/01/2017;19.41;100;Understory;J1;Day
C42754J1;18/01/2017;10:30:00;19/01/2017;23.28;73.09;Canopy;J1;Day
C42754J1;18/01/2017;10:30:00;19/01/2017;21.65;86.71;Canopy;J1;Day
U42754J1;18/01/2017;10:30:00;19/01/2017;23.11;72.09;Understory;J1;Day
U42754J1;18/01/2017;10:30:00;19/01/2017;19.72;100;Understory;J1;Day
C42754J1;18/01/2017;11:00:00;19/01/2017;24.1;73.37;Canopy;J1;Day
C42754J1;18/01/2017;11:00:00;19/01/2017;22.78;79.46;Canopy;J1;Day
U42754J1;18/01/2017;11:00:00;19/01/2017;23.93;72.16;Understory;J1;Day
U42754J1;18/01/2017;11:00:00;19/01/2017;20.17;98.94;Understory;J1;Day
C42754J1;18/01/2017;11:30:00;19/01/2017;25.84;74.12;Canopy;J1;Day
C42754J1;18/01/2017;11:30:00;19/01/2017;23.4;76.46;Canopy;J1;Day
U42754J1;18/01/2017;11:30:00;19/01/2017;25.16;77.95;Understory;J1;Day
U42754J1;18/01/2017;11:30:00;19/01/2017;20.32;96.71;Understory;J1;Day
C42754J1;18/01/2017;12:00:00;19/01/2017;28.35;59.76;Canopy;J1;Day
C42754J1;18/01/2017;12:00:00;19/01/2017;22.32;87.16;Canopy;J1;Day
U42754J1;18/01/2017;12:00:00;19/01/2017;21.89;87.89;Understory;J1;Day
U42754J1;18/01/2017;12:00:00;19/01/2017;20.7;94.11;Understory;J1;Day
C42754J1;18/01/2017;12:30:00;19/01/2017;25.91;61.98;Canopy;J1;Day
C42754J1;18/01/2017;12:30:00;19/01/2017;23.5;80.02;Canopy;J1;Day
U42754J1;18/01/2017;12:30:00;19/01/2017;21.44;88.44;Understory;J1;Day
U42754J1;18/01/2017;12:30:00;19/01/2017;21.29;92.71;Understory;J1;Day
C42754J1;18/01/2017;13:00:00;19/01/2017;27.31;62.36;Canopy;J1;Day
C42754J1;18/01/2017;13:00:00;19/01/2017;24.24;74.62;Canopy;J1;Day
U42754J1;18/01/2017;13:00:00;19/01/2017;22.39;83.96;Understory;J1;Day
U42754J1;18/01/2017;13:00:00;19/01/2017;21.49;89.11;Understory;J1;Day
C42754J1;18/01/2017;13:30:00;19/01/2017;28.15;62.19;Canopy;J1;Day
C42754J1;18/01/2017;13:30:00;19/01/2017;23.83;86.32;Canopy;J1;Day
U42754J1;18/01/2017;13:30:00;19/01/2017;22.71;81.32;Understory;J1;Day
U42754J1;18/01/2017;13:30:00;19/01/2017;21.87;91.67;Understory;J1;Day
C42754J1;18/01/2017;14:00:00;19/01/2017;29.92;55.94;Canopy;J1;Day
C42754J1;18/01/2017;14:00:00;19/01/2017;24.15;85.7;Canopy;J1;Day
U42754J1;18/01/2017;14:00:00;19/01/2017;22.78;83.09;Understory;J1;Day
U42754J1;18/01/2017;14:00:00;19/01/2017;22.3;90.5;Understory;J1;Day
C42754J1;18/01/2017;14:30:00;19/01/2017;29.84;55.96;Canopy;J1;Day
C42754J1;18/01/2017;14:30:00;19/01/2017;25.62;73.13;Canopy;J1;Day
U42754J1;18/01/2017;14:30:00;19/01/2017;23.57;83.32;Understory;J1;Day
