Code;Date;Hour;Temperature;Humidity;Strata;Month;SU;Period
CJ142752;17/01/2017;15:00:00;26.79;68.37;Canopy;January;J1;Day
UJ142752;17/01/2017;15:00:00;22.54;96.31;Understory;January;J1;Day
CJ142752;17/01/2017;15:30:00;27.63;66.91;Canopy;January;J1;Day
UJ142752;17/01/2017;15:30:00;22.37;95.39;Understory;January;J1;Day
CJ142752;17/01/2017;16:00:00;30.55;51.97;Canopy;January;J1;Day
UJ142752;17/01/2017;16:00:00;22.27;93.09;Understory;January;J1;Day
CJ142752;17/01/2017;16:30:00;29.19;57.07;Canopy;January;J1;Day
UJ142752;17/01/2017;16:30:00;22.27;92.10;Understory;January;J1;Day
CJ142752;17/01/2017;17:00:00;33.00;45.47;Canopy;January;J1;Day
UJ142752;17/01/2017;17:00:00;22.20;89.03;Understory;January;J1;Day
CJ142752;17/01/2017;17:30:00;26.11;67.64;Canopy;January;J1;Day
UJ142752;17/01/2017;17:30:00;21.96;90.75;Understory;January;J1;Day
CJ142752;17/01/2017;18:00:00;26.26;66.61;Canopy;January;J1;Day
UJ142752;17/01/2017;18:00:00;21.89;93.24;Understory;January;J1;Day
CJ142752;17/01/2017;18:30:00;24.48;75.08;Canopy;January;J1;Night
UJ142752;17/01/2017;18:30:00;21.77;92.48;Understory;January;J1;Night
CJ142752;17/01/2017;19:00:00;22.06;82.23;Canopy;January;J1;Night
UJ142752;17/01/2017;19:00:00;21.22;92.08;Understory;January;J1;Night
CJ142752;17/01/2017;19:30:00;21.22;85.61;Canopy;January;J1;Night
UJ142752;17/01/2017;19:30:00;20.70;94.80;Understory;January;J1;Night
CJ142752;17/01/2017;20:00:00;20.17;92.97;Canopy;January;J1;Night
UJ142752;17/01/2017;20:00:00;20.32;96.58;Understory;January;J1;Night
CJ142752;17/01/2017;20:30:00;19.22;96.68;Canopy;January;J1;Night
UJ142752;17/01/2017;20:30:00;19.63;98.23;Understory;January;J1;Night
CJ142752;17/01/2017;21:00:00;18.79;97.90;Canopy;January;J1;Night
UJ142752;17/01/2017;21:00:00;19.41;98.82;Understory;January;J1;Night
CJ142752;17/01/2017;21:30:00;18.44;98.06;Canopy;January;J1;Night
UJ142752;17/01/2017;21:30:00;19.15;99.08;Understory;January;J1;Night
CJ142752;17/01/2017;22:00:00;18.22;98.73;Canopy;January;J1;Night
UJ142752;17/01/2017;22:00:00;18.91;99.38;Understory;January;J1;Night
CJ142752;17/01/2017;22:30:00;18.20;98.88;Canopy;January;J1;Night
UJ142752;17/01/2017;22:30:00;18.56;99.33;Understory;January;J1;Night
CJ142752;17/01/2017;23:00:00;18.20;99.29;Canopy;January;J1;Night
UJ142752;17/01/2017;23:00:00;18.51;99.78;Understory;January;J1;Night
CJ142752;17/01/2017;23:30:00;18.25;99.30;Canopy;January;J1;Night
UJ142752;17/01/2017;23:30:00;18.70;100.00;Understory;January;J1;Night
CJ142753;18/01/2017;00:00:00;18.27;99.41;Canopy;January;J1;Night
UJ142753;18/01/2017;00:00:00;18.72;100.00;Understory;January;J1;Night
CJ142753;18/01/2017;00:30:00;18.27;99.41;Canopy;January;J1;Night
UJ142753;18/01/2017;00:30:00;18.75;100.00;Understory;January;J1;Night
CJ142753;18/01/2017;01:00:00;18.22;99.50;Canopy;January;J1;Night
UJ142753;18/01/2017;01:00:00;18.68;100.00;Understory;January;J1;Night
CJ142753;18/01/2017;01:30:00;18.49;99.57;Canopy;January;J1;Night
UJ142753;18/01/2017;01:30:00;18.79;100.00;Understory;January;J1;Night
CJ142753;18/01/2017;02:00:00;18.41;99.45;Canopy;January;J1;Night
UJ142753;18/01/2017;02:00:00;18.87;100.00;Understory;January;J1;Night
CJ142753;18/01/2017;02:30:00;18.32;99.60;Canopy;January;J1;Night
UJ142753;18/01/2017;02:30:00;18.75;100.00;Understory;January;J1;Night
