"","Estimate","Std. Error","t value","Pr(>|t|)","type"
"X.Intercept.",0.586470689224096,0.125343174658882,4.67892001953962,1.1238207449294e-05,"Tmean.day"
"StrataUnderstory",-1.17294137844819,0.177262017553491,-6.61699214889193,3.50994110591196e-09,"Tmean.day"
"X.Intercept..1",0.476805816040263,0.136216421405864,3.50035488466985,0.000754259032054151,"Tsd.day"
"StrataUnderstory.1",-0.953611632080526,0.192639110570102,-4.95024935101902,3.90026906505909e-06,"Tsd.day"
"X.Intercept..2",-0.829889829730885,0.0854511854096489,-9.71185859801046,2.77430501832694e-15,"Hmean.day"
"StrataUnderstory.2",1.65977965946177,0.120846225327183,13.7346421451561,5.72979171406803e-23,"Hmean.day"
"X.Intercept..3",0.711045835945844,0.108482780164312,6.55445808882173,4.6217923098945e-09,"Hsd.day"
"StrataUnderstory.3",-1.42209167189169,0.153417818992309,-9.26940352321773,2.09594275531618e-14,"Hsd.day"
"X.Intercept..4",0.00115901327675893,0.155241267362385,0.00746588388803479,0.994061275572084,"Tmean.night"
"StrataUnderstory.4",-0.00231802655351736,0.219544305743873,-0.0105583542495593,0.991601454343443,"Tmean.night"
"X.Intercept..5",0.217558054550812,0.151477578715611,1.43623931934681,0.15473846248018,"Tsd.night"
"StrataUnderstory.5",-0.435116109101623,0.214221646215055,-2.03114912423376,0.0454794477889595,"Tsd.night"
"X.Intercept..6",-0.41071595939415,0.141370266200895,-2.90524995412049,0.0047158072324755,"Hmean.night"
"StrataUnderstory.6",0.821431918788296,0.1999277477776,4.10864388720099,9.37620865296984e-05,"Hmean.night"
"X.Intercept..7",0.518315850752278,0.132466647155571,3.91280267057381,0.000187450422835493,"Hsd.night"
"StrataUnderstory.7",-1.03663170150455,0.1873361289695,-5.53353860361515,3.66211133203054e-07,"Hsd.night"
